2025-12-08T14:46:18.450171,0,491,491,blindspot_overflow_death,-0.449502,15.185191
2025-12-08T14:46:18.450219,124,491,491,blindspot_overflow_death,-0.282007,9.445391
2025-12-08T14:46:18.450231,148,491,491,blindspot_overflow_death,-0.418619,14.073806
2025-12-08T14:46:18.450235,149,491,491,blindspot_overflow_death,-0.314692,10.442728
2025-12-08T14:46:18.450314,165,492,492,blindspot_overflow_death,-0.245231,8.509071
2025-12-08T14:46:18.450369,112,493,493,blindspot_overflow_death,-0.16648,5.914153
2025-12-08T14:46:18.450374,118,493,493,blindspot_overflow_death,-0.034283,1.223809
2025-12-08T14:46:18.450427,49,494,494,blindspot_overflow_death,-0.359713,13.098955
2025-12-08T14:46:18.450453,134,494,494,blindspot_overflow_death,-0.578317,21.15508
2025-12-08T14:46:18.450469,184,494,494,blindspot_overflow_death,-0.238706,8.6045
2025-12-08T14:46:18.450580,130,496,496,blindspot_overflow_death,0.385282,-13.678001
2025-12-08T14:46:18.450584,131,496,496,blindspot_overflow_death,-0.024127,0.858541
2025-12-08T14:46:18.450776,199,499,499,blindspot_overflow_death,-0.088982,2.777494
2025-12-08T14:46:18.450782,6,500,500,blindspot_overflow_death,0.203046,-5.880152
2025-12-08T14:46:18.450803,48,500,500,blindspot_overflow_death,0.009072,-0.262787
